N,aimed_PNbig,Nbig,Nsmall,NA,aimed_PAbig,NAbig,NAsmall,NBbig,NBsmall,PA,PAbig,PNbig,PABbig,PABsmall,diff_PAB_bigsmall,congruent,cong_tr_ix,side_cloud1,trial_family,total_elem,total_shapeA,total_shapeB,prop_shapeA_total,elem1,shapeA1,shapeB1,elem2,shapeA2,shapeB2,prop_elem_L_R,prop_shapeA_L_R,trial_ix,stimulus_type,resp_type,block_type,left_opt_best,best_opt,left_best,best_resp,trial_nb,block_nb,block_length,elem_look_at,resp_modality,switch_family,switch_type,same_resp_as_previous,transition_trials,transition_stimulus,transition_response,allow_break
75,0.56,43,32,38,0.54,21,17,22,15,0.506666666666667,0.552631578947368,0.573333333333333,0.954545454545455,1.13333333333333,-0.178787878787879,1,31,1,87,75,38,37,0.506666666666667,43,21,22,32,17,15,0.573333333333333,0.552631578947368,87,1,1,1,1,1,1,1,1,1,9,0,0,0,0,0,0,0,0,0
65,0.52,34,31,29,0.46,13,16,21,15,0.446153846153846,0.448275862068966,0.523076923076923,0.619047619047619,1.06666666666667,-0.447619047619048,0,2,2,2,65,29,36,0.446153846153846,31,16,15,34,13,21,0.476923076923077,0.551724137931034,2,1,1,1,0,2,0,2,2,1,9,0,0,0,0,0,0,0,0,0
75,0.52,39,36,25,0.52,13,12,26,24,0.333333333333333,0.52,0.52,0.5,0.5,0,1,12,2,68,75,25,50,0.333333333333333,36,12,24,39,13,26,0.48,0.48,68,1,1,1,0,2,0,2,3,1,9,0,0,0,0,1,0,0,0,0
75,0.52,39,36,33,0.54,18,15,21,21,0.44,0.545454545454545,0.52,0.857142857142857,0.714285714285714,0.142857142857143,1,15,2,71,75,33,42,0.44,36,15,21,39,18,21,0.48,0.454545454545455,71,1,1,1,0,2,0,2,4,1,9,0,0,0,0,1,0,0,0,0
75,0.56,43,32,37,0.56,21,16,22,16,0.493333333333333,0.567567567567568,0.573333333333333,0.954545454545455,1,-0.0454545454545454,1,32,1,88,75,37,38,0.493333333333333,43,21,22,32,16,16,0.573333333333333,0.567567567567568,88,1,1,1,1,1,1,1,5,1,9,0,0,0,0,0,0,0,0,0
75,0.56,43,32,37,0.44,16,21,27,11,0.493333333333333,0.432432432432432,0.573333333333333,0.592592592592593,1.90909090909091,-1.31649831649832,0,32,1,32,75,37,38,0.493333333333333,43,16,27,32,21,11,0.573333333333333,0.432432432432432,32,1,1,1,1,1,1,1,6,1,9,0,0,0,0,1,0,0,0,0
75,0.52,39,36,32,0.44,14,18,25,18,0.426666666666667,0.4375,0.52,0.56,1,-0.44,0,16,1,16,75,32,43,0.426666666666667,39,14,25,36,18,18,0.52,0.4375,16,1,1,1,1,1,1,1,7,1,9,0,0,0,0,1,0,0,0,0
65,0.56,37,28,26,0.52,14,12,23,16,0.4,0.538461538461538,0.569230769230769,0.608695652173913,0.75,-0.141304347826087,1,10,1,66,65,26,39,0.4,37,14,23,28,12,16,0.569230769230769,0.538461538461538,66,1,1,1,1,1,1,1,8,1,9,0,0,0,0,1,0,0,0,0
85,0.52,45,40,46,0.44,20,26,25,14,0.541176470588235,0.434782608695652,0.529411764705882,0.8,1.85714285714286,-1.05714285714286,0,40,2,40,85,46,39,0.541176470588235,40,26,14,45,20,25,0.470588235294118,0.565217391304348,40,1,1,1,0,2,0,2,9,1,9,0,0,0,0,0,0,0,0,0
65,0.52,34,31,38,0.48,18,20,16,11,0.584615384615385,0.473684210526316,0.523076923076923,1.125,1.81818181818182,-0.693181818181818,0,4,2,4,65,38,27,0.584615384615385,31,20,11,34,18,16,0.476923076923077,0.526315789473684,228,2,1,2,1,1,1,1,10,2,10,1,0,1,1,0,1,1,0,0
75,0.54,41,34,32,0.52,17,15,24,19,0.426666666666667,0.53125,0.546666666666667,0.708333333333333,0.789473684210526,-0.081140350877193,1,21,2,77,75,32,43,0.426666666666667,34,15,19,41,17,24,0.453333333333333,0.46875,301,2,1,2,0,2,0,2,11,2,10,1,0,0,0,0,0,0,0,0
75,0.52,39,36,41,0.44,18,23,21,13,0.546666666666667,0.439024390243902,0.52,0.857142857142857,1.76923076923077,-0.912087912087912,0,19,1,19,75,41,34,0.546666666666667,39,18,21,36,23,13,0.52,0.439024390243902,243,2,1,2,0,2,0,2,12,2,10,1,0,0,0,1,0,0,0,0
65,0.54,36,29,28,0.48,13,15,23,14,0.430769230769231,0.464285714285714,0.553846153846154,0.565217391304348,1.07142857142857,-0.506211180124224,0,7,2,7,65,28,37,0.430769230769231,29,15,14,36,13,23,0.446153846153846,0.535714285714286,231,2,1,2,1,1,1,1,13,2,10,1,0,0,0,0,0,0,0,0
85,0.52,45,40,50,0.52,26,24,19,16,0.588235294117647,0.52,0.529411764705882,1.36842105263158,1.5,-0.131578947368421,1,38,2,94,85,50,35,0.588235294117647,40,24,16,45,26,19,0.470588235294118,0.48,318,2,1,2,0,2,0,2,14,2,10,1,0,0,0,0,0,0,0,0
65,0.52,34,31,37,0.46,17,20,17,11,0.569230769230769,0.459459459459459,0.523076923076923,1,1.81818181818182,-0.818181818181818,0,5,2,5,65,37,28,0.569230769230769,31,20,11,34,17,17,0.476923076923077,0.540540540540541,229,2,1,2,1,1,1,1,15,2,10,1,0,0,0,0,0,0,0,0
75,0.52,39,36,25,0.52,13,12,26,24,0.333333333333333,0.52,0.52,0.5,0.5,0,1,12,2,68,75,25,50,0.333333333333333,36,12,24,39,13,26,0.48,0.48,292,2,1,2,0,2,0,2,16,2,10,1,0,0,0,0,0,0,0,0
